id,governorate,question_tag,question_tag_order,question_map,question_raw,question_en,question_ar,answer_raw,answer_en,answer_ar,answer_rank,answer_count,answer_pct
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,17.0,42.5
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,3.0,30.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,55.0,78.57142857
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,38.0,95.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,16.0,53.33333333
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,19.0,11.17647059
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,3.333333333
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,0.7142857140000001
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,2.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,12.0,6.315789474
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,2.0,6.666666667
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,3.0,2.5
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,11.0,6.470588235
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,6.0,7.5
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,3.0,3.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,4.0,10.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,2.0,4.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,2.0,10.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,3.0,7.5
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,13.0,7.647058824
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,4.0,13.33333333
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,2.0,5.0
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,7.0,3.684210526
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,3.0,10.0
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,2.0,1.6666666669999999
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,5.0,2.9411764710000003
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,3.0,3.75
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,3.0,3.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,2.0,5.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,1.0,1.428571429
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,16.0,32.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,1.0,10.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,3,Neither positive nor negative,,3,0.0,0.0
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,12.0,7.058823529
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,3.0,10.0
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,1.0,0.7142857140000001
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,3.0,7.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,6.0,3.157894737
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,2.0,6.666666667
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,1.0,0.833333333
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,1.0,0.588235294
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,1.0,1.25
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,7.0,7.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,2.0,5.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,9.0,18.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,4,Positive,,4,0.0,0.0
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,8.0,4.705882353
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,6.0,20.0
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,3.0,2.142857143
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,6.0,15.0
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,2.0,1.052631579
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,1.0,0.833333333
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,2.0,5.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,2.0,4.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,2.0,3.333333333
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,Very positive,Very positive,,5,0.0,0.0
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,10.0,5.882352941000001
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,12.0,40.0
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,5.0,3.571428571
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,15.0,37.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,85.0,44.73684211
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,7.0,23.33333333
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,0.0,0.0
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,67.0,39.41176471
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,44.0,55.0
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,0.0,0.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,9.0,22.5
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,4.0,5.714285714
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,14.0,28.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,24.0,40.0
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,6.0,30.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,20.0,50.0
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,5.0,50.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,15.0,21.42857143
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,2.0,5.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,(DK),Don't know,,dk,14.0,46.66666667
1,Ibb,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,113.0,66.47058824
2,Abyan,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,3.0,10.0
3,Sana'a City,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,129.0,92.14285714
4,al-Baydha',international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,19.0,47.5
5,Taiz,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,20.0,10.52631579
6,al-Jawf,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,6.0,20.0
7,Hajja,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,114.0,95.0
8,al-Hudaida,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,94.0,55.29411765
9,Hadhramawt,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,1.0,1.25
10,Dhamar,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,66.0,66.0
11,Shabwa,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,1.0,2.5
12,Sana'a,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,63.0,90.0
13,Aden,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,1.0,2.0
14,Lahj,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,8.0,13.33333333
15,Marib,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,2.0,10.0
16,al-Mahweet,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,20.0,50.0
17,al-Mahra,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,0.0,0.0
18,Amran,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,61.0,87.14285714
19,al-Dhali',international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,9.0,22.5
20,Rayma,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,Very negative,Very negative,,1,21.0,70.0
1,Ibb,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,16.0,9.411764706
2,Abyan,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
3,Sana'a City,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,0.7142857140000001
4,al-Baydha',international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,2.0,5.0
5,Taiz,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,8.0,4.210526316
6,al-Jawf,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,6.0,20.0
7,Hajja,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,4.0,3.333333333
8,al-Hudaida,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,9.0,5.294117647
9,Hadhramawt,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,1.25
10,Dhamar,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
11,Shabwa,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
12,Sana'a,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,1.428571429
13,Aden,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
14,Lahj,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
15,Marib,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,5.0
16,al-Mahweet,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
17,al-Mahra,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,0.0,0.0
18,Amran,international relations,1.0,y,How do you evaluate the role that KSA plays in Yemen?,"In your opinion, is Saudi Arabia playing a positive or negative role in Yemen?",,2,Negative,,2,1.0,1.428571429
