id,governorate,question_tag,question_tag_order,question_map,question_raw,question_en,question_ar,question_scale,answer_raw,answer_en,answer_ar,answer_rank,answer_count,answer_pct
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,8.0,20.0
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,25.0,35.71428571
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,3.0,6.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,3.0,5.0
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,8.0,40.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,1.0,2.5
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,0.0,0.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,10.0,14.28571429
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,17.0,42.5
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,1.0,3.333333333
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,16.0,9.411764706
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,0.7142857140000001
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,10.0,5.263157895
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,3.0,10.0
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,4.0,3.333333333
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,0.588235294
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,2.0,2.5
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,13.0,13.0
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,4.0,10.0
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,1.428571429
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,4.0,8.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,5.0,8.333333332999999
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,1.428571429
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,10.0,25.0
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,64.0,37.64705882
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,3.0,10.0
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,19.0,13.57142857
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,6.0,15.0
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,17.0,8.947368421
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,5.0,16.66666667
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,25.0,20.83333333
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,20.0,11.76470588
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,7.0,8.75
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,17.0,17.0
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,11.0,27.5
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,13.0,18.57142857
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,12.0,24.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,6.0,10.0
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,0.0,0.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,6.0,15.0
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,0.0,0.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,14.0,20.0
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,0.0,0.0
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,3,Neither positive nor negative,,3,2.0,6.666666667
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,33.0,19.41176471
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,3.0,10.0
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,8.0,5.714285714
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,5.0,12.5
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,6.0,3.157894737
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,0.0,0.0
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,20.0,16.66666667
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,7.0,4.117647058999999
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,6.0,7.5
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,12.0,12.0
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,4.0,10.0
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,4.0,5.714285714
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,9.0,18.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,1.0,1.6666666669999999
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,0.0,0.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,9.0,22.5
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,0.0,0.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,4.0,5.714285714
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,0.0,0.0
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,4,Positive,,4,5.0,16.66666667
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,12.0,7.058823529
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,9.0,30.0
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,10.0,7.142857143
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,14.0,35.0
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,5.0,2.631578947
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,1.0,3.333333333
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,47.0,39.16666667
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,20.0,11.76470588
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,10.0,12.5
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,17.0,17.0
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,2.0,5.0
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,7.0,10.0
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,4.0,8.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,17.0,28.33333333
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,2.0,10.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,4.0,10.0
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,10.0,100.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,32.0,45.71428571
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,0.0,0.0
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,Very positive,Very positive,,5,7.0,23.33333333
1,Ibb,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,29.0,17.05882353
2,Abyan,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,10.0,33.33333333
3,Sana'a City,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,40.0,28.57142857
4,al-Baydha',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,15.0,37.5
5,Taiz,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,99.0,52.10526316
6,al-Jawf,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,8.0,26.66666667
7,Hajja,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,5.0,4.166666667
8,al-Hudaida,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,118.0,69.41176471
9,Hadhramawt,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,49.0,61.25
10,Dhamar,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,11.0,11.0
11,Shabwa,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,11.0,27.5
12,Sana'a,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,20.0,28.57142857
13,Aden,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,18.0,36.0
14,Lahj,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,28.0,46.66666667
15,Marib,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,10.0,50.0
16,al-Mahweet,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,20.0,50.0
17,al-Mahra,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,0.0,0.0
18,Amran,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,9.0,12.85714286
19,al-Dhali',international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,12.0,30.0
20,Rayma,international relations,10.0,,How do you evaluate the role that Oman plays in Yemen?,"In your opinion, is Oman playing a positive or negative role in Yemen?",,5,(DK),Don't know,,dk,15.0,50.0
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,108.0,63.52941176
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,4.0,13.33333333
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,129.0,92.14285714
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,13.0,32.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,78.0,41.05263158
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,16.0,53.33333333
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,113.0,94.16666667
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,82.0,48.23529412
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,24.0,30.0
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,87.0,87.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,20.0,50.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,65.0,92.85714286
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,7.0,14.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,34.0,56.66666667
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,12.0,60.0
16,al-Mahweet,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,17.0,42.5
17,al-Mahra,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,3.0,30.0
18,Amran,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,55.0,78.57142857
19,al-Dhali',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,38.0,95.0
20,Rayma,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,Very negative,Very negative,,1,16.0,53.33333333
1,Ibb,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,19.0,11.17647059
2,Abyan,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,3.333333333
3,Sana'a City,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,0.7142857140000001
4,al-Baydha',international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,1.0,2.5
5,Taiz,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,12.0,6.315789474
6,al-Jawf,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,2.0,6.666666667
7,Hajja,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,3.0,2.5
8,al-Hudaida,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,11.0,6.470588235
9,Hadhramawt,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,6.0,7.5
10,Dhamar,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,3.0,3.0
11,Shabwa,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,4.0,10.0
12,Sana'a,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
13,Aden,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,2.0,4.0
14,Lahj,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,0.0,0.0
15,Marib,international relations,2.0,y,How do you evaluate the role that US plays in Yemen?,"In your opinion, is the US playing a positive or negative role in Yemen?",,5,2,Negative,,2,2.0,10.0
